Name,G,GS,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,Name-additional
,,,,,,,,,,,,,,-9999
Darin Ruf,119,81,1,0,45,0,0,0,29,0,9,37,36,rufda01
Esteury Ruiz,17,9,0,0,0,0,0,0,7,6,6,17,0,ruizes01
José Ruiz,63,0,63,0,0,0,0,0,0,0,0,0,0,ruizjo01
Keibert Ruiz,112,98,0,106,0,0,0,0,0,0,0,0,1,ruizke01
Norge Ruíz,14,0,14,0,0,0,0,0,0,0,0,0,0,ruizno01
Adley Rutschman,113,107,0,93,0,0,0,0,0,0,0,0,23,rutscad01
Joe Ryan,27,27,27,0,0,0,0,0,0,0,0,0,0,ryanjo04
Hyun Jin Ryu,6,6,6,0,0,0,0,0,0,0,0,0,0,ryuhy01
Connor Sadzeck,2,0,2,0,0,0,0,0,0,0,0,0,0,sadzeco01
Chris Sale,2,2,2,0,0,0,0,0,0,0,0,0,0,salech01
Adrian Sampson,21,19,21,0,0,0,0,0,0,0,0,0,0,sampsad01
Aaron Sanchez,15,10,15,0,0,0,0,0,0,0,0,0,0,sanchaa01
Aníbal Sánchez,14,14,14,0,0,0,0,0,0,0,0,0,0,sanchan01
Cristopher Sánchez,15,3,15,0,0,0,0,0,0,0,0,0,0,sanchcr01
Gary Sánchez,128,112,0,91,1,0,0,0,0,0,0,0,33,sanchga02
Jesús Sánchez,98,86,0,0,0,0,0,0,12,78,1,91,2,sanchje02
Miguel Sánchez,12,0,12,0,0,0,0,0,0,0,0,0,0,sanchmi01
Yolmer Sanchez,17,12,1,0,0,14,2,1,0,0,0,0,0,sanchca01
Phoenix Sanders,8,0,8,0,0,0,0,0,0,0,0,0,0,sandeph01
Nick Sandlin,46,0,46,0,0,0,0,0,0,0,0,0,0,sandlni01
Patrick Sandoval,27,27,27,0,0,0,0,0,0,0,0,0,0,sandopa02
Cole Sands,11,3,11,0,0,0,0,0,0,0,0,0,0,sandsco01
Donny Sands,3,0,0,1,0,0,0,0,0,0,0,0,1,sandsdo01
Reiver Sanmartin,45,4,45,0,0,0,0,0,0,0,0,0,0,sanmare01
Miguel Sanó,20,19,0,0,19,0,0,0,0,0,0,0,2,sanomi01
Carlos Santana,131,121,0,0,76,0,0,0,0,0,1,1,50,santaca01
Dennis Santana,63,1,63,0,0,0,0,0,0,0,0,0,0,santade01
Anthony Santander,152,150,0,0,0,0,0,0,38,0,84,119,34,santaan02
Tony Santillan,21,0,21,0,0,0,0,0,0,0,0,0,0,santito01
